Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
541054,ICICI Prudential Mutual Fund,IPRU3062,ICICI Prudential FMP - Series - 103 Days Plan O - Cumulative Option,Suspended,F ,10,INF109KC1AF9, ,MF,-,-,-,-
541055,ICICI Prudential Mutual Fund,IPRU3063,ICICI Prudential FMP - Series - 103 Days Plan O - Dividend Option,Suspended,F ,10,INF109KC1AG7, ,MF,-,-,-,-
541056,ICICI Prudential Mutual Fund,IPRU9264,ICICI Prudential FMP - Series - 103 Days Plan O - Direct Plan Cumulative Option,Suspended,F ,10,INF109KC1AH5, ,MF,-,-,-,-
541057,ICICI Prudential Mutual Fund,IPRU9265,ICICI Prudential FMP - Series - 103 Days Plan O - Direct Plan Dividend Option,Suspended,F ,10,INF109KC1AI3, ,MF,-,-,-,-
541058,HDFC Mutual Fund,H1150D39DG,HDFC FMP 1150D MARCH 2018(1) SR 39 - DIRECT OPTION- GROWTH OPTION,Delisted,F ,10,INF179KB1Y69, ,MF,-,-,-,-
541059,HDFC Mutual Fund,H1150D39DD,HDFC FMP 1150D MARCH 2018(1) SR 39 - DIRECT OPTION- NORMAL DIVIDEND OPTION,Delisted,F ,10,INF179KB1Y77, ,MF,-,-,-,-
541060,HDFC Mutual Fund,H1150D39DQ,HDFC FMP 1150D MARCH 2018(1) SR 39 - DIRECT OPTION- QUARTERLY DIVIDEND OPTION,Delisted,F ,10,INF179KB1Y85, ,MF,-,-,-,-
541061,HDFC Mutual Fund,H1150D39RG,HDFC FMP 1150D MARCH 2018(1) SR 39 - REGULAR OPTION- GROWTH OPTION,Delisted,F ,10,INF179KB1Y93, ,MF,-,-,-,-
541062,HDFC Mutual Fund,H1150D39RD,HDFC FMP 1150D MARCH 2018(1) SR 39 - REGULAR OPTION- NORMAL DIVIDEND OPTION,Delisted,F ,10,INF179KB1Z01, ,MF,-,-,-,-
541063,HDFC Mutual Fund,H1150D39RQ,HDFC FMP 1150D MARCH 2018(1) SR 39 - REGULAR OPTION- QUARTERLY DIVIDEND OPTION,Delisted,F ,10,INF179KB1Z19, ,MF,-,-,-,-
