Scrip Code,COMPANY,ISIN No.,Close Price,IndexName
500520,MAHINDRA & MAHINDRA LTD.,INE101A01026,3205.5,BSE 100 LargeCap TMC Indexindex
543904,Mankind Pharma Limited,INE634S01028,2334.25,BSE 100 LargeCap TMC Indexindex
532500,MARUTI SUZUKI INDIA LTD.,INE585B01010,12644.9,BSE 100 LargeCap TMC Indexindex
543220,Max Healthcare Institute Limit,INE027H01010,1277.45,BSE 100 LargeCap TMC Indexindex
500790,NESTLE INDIA LTD.,INE239A01024,2457.75,BSE 100 LargeCap TMC Indexindex
532555,NTPC LTD.,INE733E01010,337.95,BSE 100 LargeCap TMC Indexindex
500312,OIL AND NATURAL GAS CORPORATIO,INE213A01029,242.9,BSE 100 LargeCap TMC Indexindex
500331,PIDILITE INDUSTRIES LTD.,INE318A01026,3052.5,BSE 100 LargeCap TMC Indexindex
542652,Polycab India Limited,INE455K01017,6498,BSE 100 LargeCap TMC Indexindex
532810,POWER FINANCE CORPORATION LTD.,INE134E01011,421.5,BSE 100 LargeCap TMC Indexindex
532898,POWER GRID CORPORATION OF INDI,INE752E01010,299.6,BSE 100 LargeCap TMC Indexindex
532461,PUNJAB NATIONAL BANK,INE160A01022,106.35,BSE 100 LargeCap TMC Indexindex
532955,REC LIMITED,INE020B01018,403.05,BSE 100 LargeCap TMC Indexindex
500325,RELIANCE INDUSTRIES LTD.,INE002A01018,1516.05,BSE 100 LargeCap TMC Indexindex
517334,Samvardhana Motherson Internat,INE775A01035,154.4,BSE 100 LargeCap TMC Indexindex
540719,SBI Life Insurance Company Lim,INE123W01016,1850.55,BSE 100 LargeCap TMC Indexindex
500387,SHREE CEMENT LTD.,INE070A01015,30999.55,BSE 100 LargeCap TMC Indexindex
511218,Shriram Finance Limited,INE721A01047,699.75,BSE 100 LargeCap TMC Indexindex
500550,SIEMENS LTD.,INE003A01024,3179.7,BSE 100 LargeCap TMC Indexindex
500112,STATE BANK OF INDIA,INE062A01020,805.4,BSE 100 LargeCap TMC Indexindex
524715,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,1688,BSE 100 LargeCap TMC Indexindex
532540,TATA CONSULTANCY SERVICES LTD.,INE467B01029,3443.15,BSE 100 LargeCap TMC Indexindex
500800,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,1122.9,BSE 100 LargeCap TMC Indexindex
500570,TATA MOTORS LTD.,INE155A01022,686.7,BSE 100 LargeCap TMC Indexindex
500400,TATA POWER CO.LTD.,INE245A01021,408.8,BSE 100 LargeCap TMC Indexindex
500470,TATA STEEL LTD.,INE081A01020,161.4,BSE 100 LargeCap TMC Indexindex
