SYMBOL_CODE,COMPANY_NAME,SYMBOL_NAME,IndexName,SECTOR_NAME,INDUSTRY,INSTRUMENT
500164,GODREJ INDUSTRIES LTD.,GODREJIND,BSE MidCapindex,Diversified,Diversified,Equity
500165,KANSAI NEROLAC PAINTS LTD.,KANSAINER,BSE MidCapindex,Consumer Discretionary,Consumer Durables,Equity
500168,GOODYEAR INDIA LTD.,GOODYEAR,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500171,GHCL LTD.,GHCL,BSE SmallCapindex,Commodities,Chemicals,Equity
500180,HDFC BANK LTD.,HDFCBANK,BSE SENSEXindex,Financial Services,Financial Services,Equity
500182,HERO MOTOCORP LTD.,HEROMOTOCO,BSE SENSEX Next 50index,Consumer Discretionary,Automobile and Auto Components,Equity
500183,HFCL LIMITED,HFCL,BSE SmallCapindex,Telecommunication,Telecommunication,Equity
500184,Himadri Speciality Chemical Lt,HSCL,BSE SmallCapindex,Commodities,Chemicals,Equity
500185,HINDUSTAN CONSTRUCTION CO.LTD.,HCC,BSE SmallCapindex,Industrials,Construction,Equity
500186,HINDUSTAN OIL EXPLORATION CO.L,HINDOILEXP,BSE SmallCapindex,Energy,"Oil, Gas & Consumable Fuels",Equity
500187,AGI GREENPAC LIMITED,AGI,BSE SmallCapindex,Industrials,Capital Goods,Equity
500188,HINDUSTAN ZINC LTD.,HINDZINC,BSE LargeCapindex,Commodities,Metals & Mining,Equity
500193,HLV LIMITED,HLVLTD,BSE SmallCapindex,Consumer Discretionary,Consumer Services,Equity
500199,I G PETROCHEMICALS LTD.,IGPL,BSE SmallCapindex,Commodities,Chemicals,Equity
500201,INDIA GLYCOLS LTD.,INDIAGLYCO,BSE SmallCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500207,INDO RAMA SYNTHETICS (INDIA) L,INDORAMA,BSE SmallCapindex,Consumer Discretionary,Textiles,Equity
500209,INFOSYS LTD.,INFY,BSE SENSEXindex,Information Technology,Information Technology,Equity
500210,INGERSOLL-RAND (INDIA) LTD.,INGERRAND,BSE SmallCapindex,Industrials,Capital Goods,Equity
500214,ION EXCHANGE (INDIA) LTD.,IONEXCHANG,BSE SmallCapindex,Utilities,Utilities,Equity
500215,SUNDROP BRANDS LIMITED,SUNDROP,BSE SmallCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500219,JAIN IRRIGATION SYSTEMS LTD.,JISLJALEQS,BSE SmallCapindex,Industrials,Capital Goods,Equity
500227,JINDAL POLY FILMS LTD.,JINDALPOLY,BSE SmallCapindex,Industrials,Capital Goods,Equity
500228,JSW STEEL LTD.,JSWSTEEL,BSE SENSEX SIXTYindex,Commodities,Metals & Mining,Equity
500233,KAJARIA CERAMICS LTD.,KAJARIACER,BSE SmallCapindex,Consumer Discretionary,Consumer Durables,Equity
500235,KALYANI STEELS LTD.,KSL,BSE SmallCapindex,Industrials,Capital Goods,Equity
500238,WHIRLPOOL OF INDIA LTD.,WHIRLPOOL,BSE MidCapindex,Consumer Discretionary,Consumer Durables,Equity
500241,KIRLOSKAR BROTHERS LTD.,KIRLOSBROS,BSE SmallCapindex,Industrials,Capital Goods,Equity
500243,KIRLOSKAR INDUSTRIES LTD,KIRLOSIND,BSE SmallCapindex,Industrials,Capital Goods,Equity
500245,KIRLOSKAR FERROUS INDUSTRIES L,KIRLFER,BSE SmallCapindex,Commodities,Metals & Mining,Equity
500247,KOTAK MAHINDRA BANK LTD.,KOTAKBANK,BSE SENSEXindex,Financial Services,Financial Services,Equity
500250,L.G.BALAKRISHNAN & BROS.LTD.,LGBBROSLTD,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500251,TRENT LTD.,TRENT,BSE SENSEXindex,Consumer Discretionary,Consumer Services,Equity
500252,LMW Limited,LMW,BSE SmallCapindex,Industrials,Capital Goods,Equity
500253,LIC HOUSING FINANCE LTD.,LICHSGFIN,BSE MidCapindex,Financial Services,Financial Services,Equity
500257,LUPIN LTD.,LUPIN,BSE SENSEX Next 50index,Healthcare,Healthcare,Equity
500260,THE RAMCO CEMENTS LIMITED,RAMCOCEM,BSE MidCapindex,Commodities,Construction Materials,Equity
500265,MAHARASHTRA SEAMLESS LTD.,MAHSEAMLES,BSE SmallCapindex,Industrials,Capital Goods,Equity
500266,MAHARASHTRA SCOOTERS LTD.,MAHSCOOTER,BSE SmallCapindex,Financial Services,Financial Services,Equity
500268,MANALI PETROCHEMICAL LTD.,MANALIPETC,BSE SmallCapindex,Commodities,Chemicals,Equity
500271,Max Financial Services Limited,MFSL,BSE MidCapindex,Financial Services,Financial Services,Equity
500280,CENTURY ENKA LTD.,CENTENKA,BSE SmallCapindex,Consumer Discretionary,Textiles,Equity
500288,MOREPEN LABORATORIES LTD.,MOREPENLAB,BSE SmallCapindex,Healthcare,Healthcare,Equity
500290,MRF LTD.,MRF,BSE MidCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500292,HEIDELBERGCEMENT INDIA LTD.,HEIDELBERG,BSE SmallCapindex,Commodities,Construction Materials,Equity
500294,NCC LIMITED,NCC,BSE SmallCapindex,Industrials,Construction,Equity
500295,VEDANTA LIMITED,VEDL,BSE SENSEX SIXTYindex,Commodities,Metals & Mining,Equity
500296,NAHAR SPINNING MILLS LTD.,NAHARSPING,BSE SmallCapindex,Consumer Discretionary,Textiles,Equity
500300,GRASIM INDUSTRIES LTD.,GRASIM,BSE SENSEX SIXTYindex,Commodities,Construction Materials,Equity
500302,PIRAMAL ENTERPRISES LTD.,PEL,BSE MidCapindex,Financial Services,Financial Services,Equity
500304,NIIT LTD.,NIITLTD,BSE SmallCapindex,Consumer Discretionary,Consumer Services,Equity
500307,NIRLON LTD.,NIRLON,BSE SmallCapindex,Services,Services,Equity
500312,OIL AND NATURAL GAS CORPORATIO,ONGC,BSE SENSEX SIXTYindex,Energy,"Oil, Gas & Consumable Fuels",Equity
500314,ORIENTAL HOTELS LTD.,ORIENTHOT,BSE SmallCapindex,Consumer Discretionary,Consumer Services,Equity
500325,RELIANCE INDUSTRIES LTD.,RELIANCE,BSE SENSEXindex,Energy,"Oil, Gas & Consumable Fuels",Equity
500331,PIDILITE INDUSTRIES LTD.,PIDILITIND,BSE SENSEX Next 50index,Commodities,Chemicals,Equity
500333,PIX TRANSMISSIONS LTD.,PIXTRANS,BSE SmallCapindex,Industrials,Capital Goods,Equity
500335,BIRLA CORPORATION LTD.,BIRLACORPN,BSE SmallCapindex,Commodities,Construction Materials,Equity
500336,SURYA ROSHNI LTD.,SURYAROSNI,BSE SmallCapindex,Industrials,Capital Goods,Equity
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,BSE SmallCapindex,Commodities,Construction Materials,Equity
500339,RAIN INDUSTRIES LIMITED,RAIN,BSE SmallCapindex,Commodities,Chemicals,Equity
500355,RALLIS INDIA LTD.,RALLIS,BSE SmallCapindex,Commodities,Chemicals,Equity
500365,WELSPUN SPECIALTY SOLUTIONS LI,WELSPLSOL,BSE SmallCapindex,Industrials,Capital Goods,Equity
500368,Patanjali Foods Limited,PATANJALI,BSE MidCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500378,JINDAL SAW LTD.,JINDALSAW,BSE SmallCapindex,Industrials,Capital Goods,Equity
500380,JK LAKSHMI CEMENT LTD.,JKLAKSHMI,BSE SmallCapindex,Commodities,Construction Materials,Equity
500387,SHREE CEMENT LTD.,SHREECEM,BSE SENSEX Next 50index,Commodities,Construction Materials,Equity
500390,RELIANCE INFRASTRUCTURE LTD.,RELINFRA,BSE SmallCapindex,Utilities,Power,Equity
500400,TATA POWER CO.LTD.,TATAPOWER,BSE SENSEX SIXTYindex,Utilities,Power,Equity
500403,SUNDRAM FASTENERS LTD.,SUNDRMFAST,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500404,SUNFLAG IRON & STEEL CO.LTD.,SUNFLAG,BSE SmallCapindex,Industrials,Capital Goods,Equity
500405,SUPREME PETROCHEM LTD.,SPLPETRO,BSE SmallCapindex,Commodities,Chemicals,Equity
500407,SWARAJ ENGINES LTD.,SWARAJENG,BSE SmallCapindex,Industrials,Capital Goods,Equity
500408,TATA ELXSI LTD.,TATAELXSI,BSE MidCapindex,Information Technology,Information Technology,Equity
500410,ACC LTD.,ACC,BSE MidCapindex,Commodities,Construction Materials,Equity
500411,THERMAX LTD.,THERMAX,BSE MidCapindex,Industrials,Capital Goods,Equity
500412,THIRUMALAI CHEMICALS LTD.,TIRUMALCHM,BSE SmallCapindex,Commodities,Chemicals,Equity
500413,THOMAS COOK (INDIA) LTD.,THOMASCOOK,BSE SmallCapindex,Consumer Discretionary,Consumer Services,Equity
500414,TIMEX GROUP INDIA LTD.,TIMEX,BSE SmallCapindex,Consumer Discretionary,Consumer Durables,Equity
500420,TORRENT PHARMACEUTICALS LTD.,TORNTPHARM,BSE MidCapindex,Healthcare,Healthcare,Equity
500425,AMBUJA CEMENTS LTD.,AMBUJACEM,BSE SENSEX Next 50index,Commodities,Construction Materials,Equity
500429,UNIPHOS ENTERPRISES LTD.,UNIENTER,BSE SmallCapindex,Commodities,Chemicals,Equity
500439,VARDHMAN HOLDINGS LTD.,VHL,BSE SmallCapindex,Financial Services,Financial Services,Equity
500440,HINDALCO INDUSTRIES LTD.,HINDALCO,BSE SENSEX SIXTYindex,Commodities,Metals & Mining,Equity
500444,West Coast Paper Mills Limited,WSTCSTPAPR,BSE SmallCapindex,Commodities,Forest Materials,Equity
500459,PROCTER & GAMBLE HYGIENE & HEA,PGHH,BSE MidCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500460,MUKAND LTD.,MUKANDLTD,BSE SmallCapindex,Commodities,Metals & Mining,Equity
500463,BLACK BOX LIMITED,BBOX,BSE SmallCapindex,Information Technology,Information Technology,Equity
500469,FEDERAL BANK LTD.,FEDERALBNK,BSE SENSEX Next 50index,Financial Services,Financial Services,Equity
500470,TATA STEEL LTD.,TATASTEEL,BSE SENSEXindex,Commodities,Metals & Mining,Equity
500472,SKF INDIA LTD.,SKFINDIA,BSE SmallCapindex,Industrials,Capital Goods,Equity
500477,ASHOK LEYLAND LTD.,ASHOKLEY,BSE MidCapindex,Industrials,Capital Goods,Equity
500480,CUMMINS INDIA LTD.,CUMMINSIND,BSE SENSEX Next 50index,Industrials,Capital Goods,Equity
500483,TATA COMMUNICATIONS LTD.,TATACOMM,BSE MidCapindex,Telecommunication,Telecommunication,Equity
500488,ABBOTT INDIA LTD.,ABBOTINDIA,BSE MidCapindex,Healthcare,Healthcare,Equity
500490,BAJAJ HOLDINGS & INVESTMENT LT,BAJAJHLDNG,BSE SENSEX Next 50index,Financial Services,Financial Services,Equity
500493,BHARAT FORGE LTD.,BHARATFORG,BSE MidCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500495,Escorts Kubota Limited,ESCORTS,BSE MidCapindex,Industrials,Capital Goods,Equity
500510,LARSEN & TOUBRO LTD.,LT,BSE SENSEXindex,Industrials,Construction,Equity
500520,MAHINDRA & MAHINDRA LTD.,M&M,BSE SENSEXindex,Consumer Discretionary,Automobile and Auto Components,Equity
500530,BOSCH LTD.,BOSCHLTD,BSE LargeCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500547,BHARAT PETROLEUM CORPORATION L,BPCL,BSE SENSEX Next 50index,Energy,"Oil, Gas & Consumable Fuels",Equity
500550,SIEMENS LTD.,SIEMENS,BSE LargeCapindex,Industrials,Capital Goods,Equity
500570,TATA MOTORS LTD.,TATAMOTORS,BSE SENSEXindex,Consumer Discretionary,Automobile and Auto Components,Equity
500575,VOLTAS LTD.,VOLTAS,BSE MidCapindex,Consumer Discretionary,Consumer Durables,Equity
500620,GREAT EASTERN SHIPPING CO.LTD.,GESHIP,BSE SmallCapindex,Services,Services,Equity
500645,DEEPAK FERTILISERS & PETROCHEM,DEEPAKFERT,BSE SmallCapindex,Commodities,Chemicals,Equity
500650,EXCEL INDUSTRIES LTD.,EXCELINDUS,BSE SmallCapindex,Commodities,Chemicals,Equity
500655,GARWARE HI-TECH FILMS LIMITED,GRWRHITECH,BSE SmallCapindex,Industrials,Capital Goods,Equity
500660,GLAXOSMITHKLINE PHARMACEUTICAL,GLAXO,BSE MidCapindex,Healthcare,Healthcare,Equity
500670,GUJARAT NARMADA VALLEY FERTILI,GNFC,BSE SmallCapindex,Commodities,Chemicals,Equity
500672,NOVARTIS INDIA LTD.,NOVARTIND,BSE SmallCapindex,Healthcare,Healthcare,Equity
500674,SANOFI INDIA LTD,SANOFI,BSE SmallCapindex,Healthcare,Healthcare,Equity
500680,PFIZER LTD.,PFIZER,BSE SmallCapindex,Healthcare,Healthcare,Equity
500690,GUJARAT STATE FERTILIZERS & CH,GSFC,BSE SmallCapindex,Commodities,Chemicals,Equity
500696,HINDUSTAN UNILEVER LTD.,HINDUNILVR,BSE SENSEXindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500710,AKZO NOBEL INDIA LIMITED,AKZOINDIA,BSE SmallCapindex,Consumer Discretionary,Consumer Durables,Equity
500730,NOCIL LTD.,NOCIL,BSE SmallCapindex,Commodities,Chemicals,Equity
500770,TATA CHEMICALS LTD.,TATACHEM,BSE SmallCapindex,Commodities,Chemicals,Equity
500790,NESTLE INDIA LTD.,NESTLEIND,BSE SENSEX SIXTYindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,BSE SENSEX SIXTYindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500820,ASIAN PAINTS LTD.,ASIANPAINT,BSE SENSEXindex,Consumer Discretionary,Consumer Durables,Equity
500825,BRITANNIA INDUSTRIES LTD.,BRITANNIA,BSE SENSEX SIXTYindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500830,COLGATE-PALMOLIVE (INDIA) LTD.,COLPAL,BSE SENSEX Next 50index,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500840,EIH LTD.,EIHOTEL,BSE SmallCapindex,Consumer Discretionary,Consumer Services,Equity
500850,INDIAN HOTELS CO.LTD.,INDHOTEL,BSE SENSEX SIXTYindex,Consumer Discretionary,Consumer Services,Equity
500870,CASTROL INDIA LTD.,CASTROLIND,BSE MidCapindex,Energy,"Oil, Gas & Consumable Fuels",Equity
500875,ITC LTD.,ITC,BSE SENSEXindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
500877,APOLLO TYRES LTD.,APOLLOTYRE,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500878,CEAT LTD.,CEATLTD,BSE SmallCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
500940,FINOLEX INDUSTRIES LTD.,FINPIPE,BSE SmallCapindex,Industrials,Capital Goods,Equity
501150,CENTRUM CAPITAL LTD.,CENTRUM,BSE SmallCapindex,Financial Services,Financial Services,Equity
501301,TATA INVESTMENT CORPORATION LT,TATAINVEST,BSE SmallCapindex,Financial Services,Financial Services,Equity
501423,SHAILY ENGINEERING PLASTICS LT,SHAILY,BSE SmallCapindex,Industrials,Capital Goods,Equity
501425,BOMBAY BURMAH TRADING CORP.LTD,BBTC,BSE SmallCapindex,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Equity
501455,GREAVES COTTON LTD.,GREAVESCOT,BSE SmallCapindex,Industrials,Capital Goods,Equity
502090,SAGAR CEMENTS LTD.,SAGCEM,BSE SmallCapindex,Commodities,Construction Materials,Equity
502157,MANGALAM CEMENT LTD.,MANGLMCEM,BSE SmallCapindex,Commodities,Construction Materials,Equity
502175,SAURASHTRA CEMENT LTD.,SAURASHCEM,BSE SmallCapindex,Commodities,Construction Materials,Equity
502180,SHREE DIGVIJAY CEMENT CO.LTD.,SHREDIGCEM,BSE SmallCapindex,Commodities,Construction Materials,Equity
502219,BOROSIL RENEWABLES LIMITED,BORORENEW,BSE SmallCapindex,Industrials,Capital Goods,Equity
502330,ANDHRA PAPER LIMITED,ANDHRAPAP,BSE SmallCapindex,Commodities,Forest Materials,Equity
502355,BALKRISHNA INDUSTRIES LTD.,BALKRISIND,BSE MidCapindex,Consumer Discretionary,Automobile and Auto Components,Equity
502420,ORIENT PAPER & INDUSTRIES LTD.,ORIENTPPR,BSE SmallCapindex,Commodities,Forest Materials,Equity
502450,SESHASAYEE PAPER & BOARDS LTD.,SESHAPAPER,BSE SmallCapindex,Commodities,Forest Materials,Equity
502986,VARDHMAN TEXTILES LTD.,VTL,BSE SmallCapindex,Consumer Discretionary,Textiles,Equity
503031,PENINSULA LAND LTD.,PENINLAND,BSE SmallCapindex,Consumer Discretionary,Realty,Equity
503100,THE PHOENIX MILLS LTD,PHOENIXLTD,BSE MidCapindex,Consumer Discretionary,Realty,Equity
503101,MARATHON NEXTGEN REALTY LTD.,MARATHON,BSE SmallCapindex,Consumer Discretionary,Realty,Equity
503310,SWAN ENERGY LTD.,SWANENERGY,BSE SmallCapindex,Commodities,Chemicals,Equity
503806,SRF LTD.,SRF,BSE SENSEX Next 50index,Commodities,Chemicals,Equity
503811,SIYARAM SILK MILLS LTD.,SIYSIL,BSE SmallCapindex,Consumer Discretionary,Textiles,Equity
503960,BHARAT BIJLEE LTD.,BBL,BSE SmallCapindex,Industrials,Capital Goods,Equity
504067,ZENSAR TECHNOLOGIES LTD.,ZENSARTECH,BSE SmallCapindex,Information Technology,Information Technology,Equity
504112,NELCO LTD.,NELCO,BSE SmallCapindex,Information Technology,Information Technology,Equity
504132,PERMANENT MAGNETS LTD.,PERMAGN,BSE SmallCapindex,Industrials,Capital Goods,Equity
504212,UNIVERSAL CABLES LTD.,UNIVCABLES,BSE SmallCapindex,Industrials,Capital Goods,Equity
504341,RAVINDRA ENERGY LIMITED,RELTD,BSE SmallCapindex,Industrials,Capital Goods,Equity
504614,SARDA ENERGY & MINERALS LTD.,SARDAEN,BSE SmallCapindex,Commodities,Metals & Mining,Equity
504741,INDIAN HUME PIPE CO.LTD.,INDIANHUME,BSE SmallCapindex,Industrials,Capital Goods,Equity
504918,SANDUR MANGANESE & IRON ORES L,SANDUMA,BSE SmallCapindex,Energy,"Oil, Gas & Consumable Fuels",Equity
504973,CHOLAMANDALAM FINANCIAL HOLDIN,CHOLAHLDNG,BSE SmallCapindex,Financial Services,Financial Services,Equity
